ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,Summary,Profile,Rec_People,Rec_Travel
824,보통,다소 완고,많다,보통,보통,4,매우 둔감,매우 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,국내,유럽","더움,쌀쌀함,상관없음","휴식,액티비티,기록","펜션,콘도,게스트하우스",오전 8-9시,100만원 이하,"여행 중 최악의 경험은 예기치 않은 기후 변화로 인해 계획이 틀어지거나 체력 소모가 심해지는 경우로, 이를 피하기 위해 기후에 큰 영향을 받지 않는 중국&몽골 지역을 선호합니다. 이번 여행에서 꼭 필요한 것은 여유로운 일정과 같이 여행하는 사람들의 이해심이며, 즉흥적인 상황에서도 리더십을 발휘할 수 있는 동행자를 선호합니다. 여행에서 가장 기대하는 것은 바다에서의 여유로운 액티비티와 충분한 휴식인데, 특히 펜션이나 게스트하우스 같은 편안한 숙소에서 아침에 느긋하게 일어나 즐기는 시간을 중요하게 생각합니다. 이번 여행이 삶에 가져다줄 의미는 기록에 남을만한 특별한 추억과 함께 힐링의 시간이 되는 것입니다.","이 사용자는 중국&몽골 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
825,둔감,수용적,적다,자주 늦음,무조건 따름,3,매우 민감,꽤 여유있게,해외,바다,계획 여행,적당히 봄,코골이 함,기다림,"중국&몽골,국내,동남아","상관없음,습함,더움","기록,휴식,문화&역사체험","3성이하 호텔,민박,펜션",오전 10시 이후,400만원 이상,"저는 해외 여행을 선호하며, 특히 동남아시아 지역을 좋아합니다. 가장 기대하는 것은 문화와 역사 체험을 통해 기록을 남기는 것이며, 느긋한 일정을 보내고 싶습니다. 여행 중 최악의 경험은 아마도 청결하지 않은 환경일 것이고, 그 점에서 3성 이하의 호텔이라도 청결한 곳을 찾고자 합니다. 이번 여행에서 중요한 것은 편안히 휴식할 수 있는 시간이며, 같이 여행을 가고 싶은 사람은 제가 계획하는 것에 잘 따라주고 의견을 존중해주는 파트너입니다. 이러한 여행은 제 삶에 여유로움과 풍부한 문화적 경험을 더해줄 의미를 가집니다.","이 사용자는 동남아 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
826,꽤 민감,다소 완고,보통,종종 늦음,무조건 따름,2,보통,매우 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"유럽,중국&몽골,미국","쌀쌀함,상관없음,추움","휴식,공연&경기관람,자연감상","에어비엔비,민박,콘도",오전 8-9시,200-300만원,"저는 여행 중에 예상치 못하게 일정이 꼬이거나 불쾌한 기후에 처하면 최악의 경험이라고 생각합니다. 이번 여행에서 꼭 필요한 것은 여유로운 일정 속에서 자연을 감상할 수 있는 기회이며, 콘도와 같은 편안한 숙소가 필수적입니다. 같이 여행을 가고 싶은 사람은 저와 계획을 잘 맞추고 휴식과 자연 감상을 중요시하는 사람입니다. 이번 여행에서는 새로운 자연 환경을 경험하는 순간을 가장 기대하며, 이를 통해 일상에서의 스트레스를 해소하고 삶에 새로운 활력을 더하고 싶습니다. 여행을 통해 일상과 다른 여유로운 시간을 보내며 저 자신에게 긍정적인 에너지를 주입하고 싶습니다.","이 사용자는 중국&몽골 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
827,매우 둔감,보통,적다,꽤 정확,무조건 따름,1,꽤 민감,매우 여유있게,해외,산,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"세계일주,국내,동남아","상관없음,쌀쌀함,추움","액티비티,기록,도전과성장","게스트하우스,4-5성급호텔,민박",오전 10시 이후,400만원 이상,"저는 여행 중 최악의 경험으로는 예기치 않은 웨이팅과 그로 인해 다른 계획이 어긋났던 순간들을 꼽습니다. 이번 여행에서는 여유로운 일정 속에서도 기록을 남길 수 있는 시간이 꼭 있었으면 좋겠고, 체력이 낮은 편이라 일정이 너무 빡빡하지 않았으면 합니다. 함께 여행하고 싶은 사람은 소통이 잘 되고 무리한 리더십 없이 같이 계획을 만들어 가는 사람입니다. 이번 여행에서 가장 기대하는 것은 새로운 도전과 성장을 경험하는 것이며, 삶의 다양한 면모를 기록해 남기고 싶습니다. 이를 통해 여행이 제 삶에 새로운 의미와 즐거움을 더해주는 계기가 되길 바랍니다.","이 사용자는 국내 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 기록이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
828,보통,매우 완고,적다,자주 늦음,무조건 따름,2,둔감,매우 빡빡하게,국내,산,계획 여행,적당히 봄,코골이 안함,기다림,"유럽,국내,동남아","습함,쌀쌀함,건조함","액티비티,문화&역사체험,기록","에어비엔비,게스트하우스,3성이하 호텔",오전 8-9시,300-400만원,"저는 여행 중 습하고 쌀쌀한 날씨 때문에 불편했던 경험이 있어 그런 기후를 피하고 싶습니다. 이번 여행에서는 에어비앤비와 같은 아늑한 숙소에서 아침 8~9시에 일어나 체력적으로 부담되지 않도록 철저히 계획된 일정이 중요합니다. 말수가 적고 의견이 완고한 편이라 함께 여행할 사람은 저와 잘 어울리면서도 인내심 있는 사람을 선호합니다. 특히, 유럽의 역사와 문화를 체험하며 액티비티에 참여할 기회를 기대하고 있으며, 기록을 통해 여행의 순간들을 잊지 않고 기억하고 싶습니다. 이번 여행이 자주 늦는 습관에서 벗어나 시간 관리에 조금 더 성숙해지는 계기가 되었으면 합니다.","이 사용자는 유럽 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
829,둔감,매우 완고,많다,매우 정확,무조건 리드,5,둔감,꽤 여유있게,해외,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"국내,세계일주,중국&몽골","더움,습함,건조함","도전과성장,액티비티,기록","콘도,게스트하우스,상관없음",오전 8-9시,400만원 이상,"저는 여행 중 더운 기후와 습한 것을 피하려다 보니 날씨 때문에 여행이 망쳤던 경험이 있습니다. 이번 여행에서는 액티비티를 충분히 즐기기 위해 정확하고 섬세한 일정 계획이 무엇보다 중요합니다. 함께 가고 싶은 사람은 저처럼 의견이 뚜렷하고 활발한 대화를 즐기는 사람입니다. 이번 여행에서는 여러 랜드마크를 다니며 새로운 도전을 통해 성장하는 것을 가장 기대하고 있습니다. 여행이 제 삶에 새로운 기록과 도전의 의미를 남기길 바라며, 이 경험이 앞으로 세계 일주 꿈을 이뤄가는 데 밑바탕이 되었으면 합니다.","이 사용자는 중국&몽골 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 게스트하우스에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
830,매우 민감,수용적,많다,매우 정확,보통,1,둔감,매우 여유있게,국내,산,계획 여행,적당히 봄,코골이 함,기다림,"유럽,일본,동남아","더움,쌀쌀함,상관없음","기록,쇼핑,도전과성장","상관없음,콘도,민박",오전 10시 이후,100만원 이하,"저는 여행 중 체력이 낮아 힘든 상황이 최악의 경험이 될 수 있다고 생각합니다. 그래서 이번 여행에서는 충분한 휴식 시간을 확보해 체력을 보충할 수 있는 여유로운 일정이 꼭 필요합니다. 함께하는 사람은 시간을 잘 지키며, 서로의 의견을 수용할 수 있는 사람이라면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 유럽에서의 쇼핑을 통해 새로운 경험을 쌓고 기록하는 것입니다. 결과적으로 이번 여행은 도전하고 성장할 수 있는 중요한 계기가 되었으면 합니다.","이 사용자는 유럽 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
831,꽤 민감,보통,많다,보통,무조건 따름,4,둔감,꽤 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 함,다른 곳 간다,"중국&몽골,유럽,동남아","상관없음,습함,추움","자연감상,휴식,기록","게스트하우스,에어비엔비,민박",오전 8-9시,100만원 이하,"여행 중 최악의 경험은 코골이로 인해 잠을 설쳐 체력이 떨어지는 상황입니다. 그래서 이번 여행에서는 편안한 잠자리가 꼭 필요합니다. 같이 여행하고 싶은 사람은 의견을 잘 조율하고, 제가 자연을 감상하고 기록하는 데 함께 공감할 수 있는 사람입니다. 이번 여행에서 가장 기대하는 것은 유럽의 아름다운 자연을 여유롭게 감상하며 휴식하는 것입니다. 이러한 경험이 제 삶에 단순히 여유로움을 주는 것을 넘어, 감정을 기록으로 남겨 소중한 추억으로 오래 간직하고 싶습니다.","이 사용자는 유럽 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
832,둔감,매우 완고,매우 많다,꽤 정확,무조건 리드,3,둔감,매우 여유있게,국내,산,계획 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,미국,그 외","추움,건조함,더움","문화&역사체험,액티비티,도전과성장","3성이하 호텔,콘도,4-5성급호텔",오전 10시 이후,100만원 이하,"여행 중 가장 싫어하는 경험은 너무 더운 날씨에 불편해지는 것입니다. 그래서 이번 여행에서는 쾌적한 기후가 필수적이라고 생각합니다. 함께 여행하고 싶은 사람은 제가 리드할 수 있으며, 말이 잘 통하고 저처럼 유연하게 행동할 수 있는 사람이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 다양한 문화와 역사를 배우며 새로운 것을 경험하는 것이며, 이러한 경험들이 제 성장을 자극했으면 합니다. 이 여행이 제 삶에 중요한 의미로 남아 도전과 성장을 위한 계기가 되었으면 좋겠습니다.","이 사용자는 그 외 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
833,매우 둔감,다소 완고,많다,매우 정확,보통,5,보통,매우 빡빡하게,국내,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"미국,유럽,세계일주","상관없음,더움,건조함","액티비티,사람&관계,미식","펜션,3성이하 호텔,상관없음",오전 8-9시,200-300만원,"저는 국내 여행을 선호하며 바다를 좋아합니다. 여행 중 최악의 경험은 일정이 너무 빡빡해 피로가 심해질 때인데, 그럼에도 불구하고 계획 없이 즉흥적으로 움직이는 걸 좋아합니다. 이번 여행에서는 다양한 랜드마크를 꼭 보고 싶고, 액티비티와 새로운 인연을 맺는 데 기대가 큽니다. 같이 여행을 가고 싶은 사람은 저처럼 말이 많고, 여러 의견에도 쉽게 흔들리지 않는 사람이면 좋겠습니다. 이번 여행이 제 삶에 활력을 불어넣고, 새로운 사람들과의 관계 형성에 큰 의미를 두고 싶습니다.","이 사용자는 미국 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 펜션에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
834,매우 둔감,매우 완고,보통,꽤 정확,무조건 리드,5,둔감,보통,국내,산,즉흥 여행,적당히 봄,코골이 함,기다림,"국내,중국&몽골,세계일주","더움,습함,건조함","공연&경기관람,휴식,사람&관계","4-5성급호텔,펜션,게스트하우스",오전 10시 이후,400만원 이상,저는 여행 중 가장 싫어하는 건 더운 날씨입니다. 그래서 이번 여행에서는 시원한 기후가 꼭 필요합니다. 함께 여행하고 싶은 사람은 제가 계획 없이 즉흥적으로 움직이더라도 믿고 따라와 줄 수 있는 편안한 사람입니다. 이번 여행에서는 공연이나 경기를 관람하며 휴식을 취하는 것이 가장 기대됩니다. 그러한 경험이 제게는 단순한 휴식 이상의 사람과의 소중한 관계를 맺고 삶에 새로운 활력을 불어넣는 의미가 있을 것입니다.,"이 사용자는 세계일주 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 휴식이며, 펜션에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
835,꽤 민감,수용적,매우 많다,종종 늦음,무조건 리드,4,매우 민감,매우 여유있게,국내,산,계획 여행,적당히 봄,코골이 함,기다림,"유럽,그 외,동남아","습함,쌀쌀함,건조함","미식,도전과성장,문화&역사체험","에어비엔비,민박,상관없음",오전 9-10시,300-400만원,"저는 여행 중 습한 기후로 인해 불편했던 경험이 최악이었다고 생각해요. 그래서 이번 여행에서는 쾌적한 날씨와 함께 아침 9-10시에 일어나는 여유를 즐기고 싶습니다. 함께 여행을 갈 사람은 대화를 많이 할 수 있고, 나의 의견을 잘 수용하는 성격의 소유자였으면 좋겠어요. 이번 여행에서는 다양한 미식 체험과 문화·역사 탐방을 통해 새로운 도전과 성장을 기대하고 있습니다. 이러한 경험들이 제 삶에 새로운 시각과 의미를 더해주기를 바랍니다.","이 사용자는 그 외 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 민박에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
836,매우 민감,수용적,매우 적다,보통,따르는 편,4,매우 민감,꽤 여유있게,해외,산,계획 여행,적당히 봄,코골이 함,기다림,"중국&몽골,세계일주,유럽","건조함,상관없음,더움","기록,도전과성장,자연감상","콘도,민박,3성이하 호텔",오전 8-9시,300-400만원,저는 여행 중 불쾌한 경험으로 건조한 기후를 꼽을 수 있습니다. 따라서 이번 여행에서는 적절한 보습 아이템이 꼭 필요하다고 생각해요. 함께 여행하고 싶은 사람은 민감한 저를 이해하고 적당히 침착하며 말이 많은 사람보다는 차분한 사람을 선호합니다. 이번 여행에서 자연을 감상하고 도전과 성장을 통해 새로운 기록을 남길 수 있기를 기대하고 있습니다. 이를 통해 제 삶에서의 의미 있는 성장을 이루고 싶습니다.,"이 사용자는 세계일주 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 민박에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
837,보통,보통,많다,종종 늦음,무조건 따름,1,매우 둔감,매우 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"유럽,그 외,미국","쌀쌀함,습함,상관없음","쇼핑,액티비티,미식","4-5성급호텔,펜션,민박",오전 9-10시,400만원 이상,"여행 중 최악의 경험은 계획에 없던 쌀쌀한 기후를 만나는 것입니다. 이번 여행에서는 특히나 모든 랜드마크를 다 보는 것과 쇼핑을 포기할 수 없습니다. 같이 여행 가고 싶은 사람은 계획을 잘 따르는 이들이며, 리더십을 발휘하지 않는 제가 편안히 따를 수 있는 사람이고 싶습니다. 이번 여행에서 가장 기대하는 것은 쇼핑과 국내 다양한 바다에서의 액티비티이며, 이는 제 삶에 새로운 활력을 불어넣어 줄 중요한 기회가 될 것입니다. 틀에 맞춘 계획된 여행을 선호하는 만큼, 이 여행은 일상의 반복에서 벗어나 새로운 경험과 추억을 쌓는 의미를 가질 것입니다.","이 사용자는 그 외 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 민박에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
838,매우 둔감,수용적,많다,자주 늦음,리드하는편,2,매우 민감,꽤 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"동남아,그 외,일본","건조함,상관없음,추움","공연&경기관람,쇼핑,액티비티","민박,에어비엔비,상관없음",오전 10시 이후,100만원 이하,"저는 여행 중에 시간을 잘 지키지 못해 계획이 틀어지는 경험이 최악이었어요, 그래서 이번 여행에서는 여유 있는 일정이 꼭 필요해요. 같이 여행을 가고 싶은 사람은 제 의견을 수용해주고 리드해주는 역할을 나누어 맡을 수 있는 사람이에요. 이번 여행에서는 바다를 보며 공연이나 경기를 관람하고, 쇼핑을 즐기는 것을 가장 기대하고 있어요. 이런 경험들이 제 삶에 활력을 불어넣고 스트레스를 푸는데 큰 의미가 되기를 바라요. 민박이나 에어비앤비에 머물며 청결한 환경에서 편히 쉬고 싶어요.","이 사용자는 그 외 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
839,매우 둔감,매우 수용적,적다,종종 늦음,리드하는편,2,둔감,매우 빡빡하게,해외,바다,즉흥 여행,무조건 다 봄,코골이 함,기다림,"유럽,그 외,국내","건조함,습함,추움","기록,쇼핑,도전과성장","콘도,펜션,에어비엔비",오전 9-10시,400만원 이상,"저는 여행 중 최악의 경험으로 대체로 날씨가 추운 지역에서의 불편함을 꼽을 것 같습니다. 그래서 이번 여행에서는 날씨가 따뜻한 유럽이나 그 외 지역에서 쇼핑과 즐길 거리를 찾고자 합니다. 동행자로는 제가 적은 말에도 편하게 지낼 수 있는, 수용적인 태도를 가진 사람과 함께하면 좋을 것 같아요. 이번 여행에서 다양한 랜드마크를 모두 보며 즉흥적인 순간들을 즐기는 것이 가장 기대됩니다. 이러한 경험이 저에게 새로운 도전과 성장을 느끼게 해주는 의미 있는 시간이 되었으면 합니다.","이 사용자는 그 외 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
840,매우 민감,매우 수용적,많다,자주 늦음,무조건 따름,3,보통,꽤 빡빡하게,국내,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"국내,유럽,중국&몽골","추움,건조함,상관없음","휴식,문화&역사체험,미식","4-5성급호텔,게스트하우스,상관없음",오전 9-10시,200-300만원,"여행 중 최악의 경험은 늦게 도착해 일정이 망가지는 것인데, 이번 여행에서는 계획적으로 시간을 잘 관리하고 싶어요. 이번 여행에서 반드시 포함되길 바라는 것은 미식 경험이지만, 짐을 잔뜩 지고 이동하는 것만은 피하고 싶습니다. 여행 동반자로는 수용적이고 리더십을 따를 수 있는 사람을 선호하며, 그들과 함께 문화와 역사 체험을 기대해요. 특히 이번 여행은 제 일상에서 벗어나 휴식을 취하고 새로운 경험을 통한 자기 충전의 기회가 되었으면 합니다. 이러한 여행이 앞으로의 삶에 활력이 되기를 바랍니다.","이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 미식이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
841,둔감,보통,많다,꽤 정확,무조건 리드,3,매우 둔감,매우 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"유럽,일본,그 외","더움,건조함,쌀쌀함","쇼핑,미식,휴식","상관없음,에어비엔비,민박",오전 10시 이후,400만원 이상,"저는 여행 중에는 빡빡한 일정을 좋아하지만, 이번 여행에서는 미식 경험을 더욱 기대하고 있습니다. 과거 여행에서 더운 기후를 경험한 것이 최악이었기에, 이번에는 쾌적한 유럽 지역을 선택하여 기후가 불편하지 않도록 주의하고 싶어요. 함께 여행할 사람이라면 대화를 많이 나눌 수 있고, 즉흥적인 계획에도 잘 맞춰주는 동행자를 선호합니다. 이번 여행이 저에게 새로운 음식들을 맛보고 휴식할 수 있는 시간이 되기를 바라며, 삶에 있어서도 소중한 추억으로 남았으면 좋겠습니다. 또한, 여행 중에는 민박이나 에어비엔비에서 느긋하게 머물러 보는 것을 계획하고 있습니다.","이 사용자는 유럽 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
842,둔감,수용적,적다,보통,따르는 편,3,매우 민감,꽤 빡빡하게,해외,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"일본,미국,세계일주","추움,습함,상관없음","기록,사람&관계,자연감상","3성이하 호텔,에어비엔비,펜션",오전 10시 이후,200-300만원,"여행 중 최악의 경험은 아마도 추운 기후와 습한 환경을 만나는 것일 겁니다. 그렇기 때문에 저는 날씨에 대한 철저한 준비를 하고 싶고, 특히 기록을 남길 수 있는 카메라나 노트 등은 절대 잊으면 안 될 필수 아이템입니다. 같은 여행자는 조용하지만 수용적인 태도를 가진 사람이라면 더욱 좋겠고, 그들과 사람과의 관계를 형성하며 자연을 감상하는 것이 큰 기대입니다. 이번 여행이 삶에서 다른 문화와의 교류를 통해 인간관계를 넓히고, 개인적인 기록을 남기는 기회가 됐으면 합니다. 여행의 의미는 단순한 휴식이 아닌, 계획적이고 의미 있는 경험을 쌓는 데 있습니다.","이 사용자는 일본 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
843,둔감,매우 완고,매우 적다,매우 정확,리드하는편,3,매우 민감,꽤 여유있게,해외,바다,즉흥 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"그 외,일본,세계일주","건조함,습함,더움","기록,자연감상,휴식","4-5성급호텔,콘도,상관없음",오전 9-10시,400만원 이상,"저는 여행 중 기후가 매우 덥거나 습한 경우가 최악의 경험이 될 수 있습니다. 이번 여행에서는 자연을 감상할 수 있는 여유로운 일정이 꼭 있었으면 좋겠고, 함께 여행할 사람은 너무 부지런하지 않고 청결을 중요시하는 사람이었으면 합니다. 저는 이번 여행에서 일본의 자연을 감상하는 것에 가장 기대하고 있으며, 랜드마크를 모두 확인하는 순간을 즐기고 싶습니다. 이번 여행을 통해 일상에서의 긴장을 풀고 추억을 기록하는 의미 있는 시간이 되었으면 합니다.","이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 상관없음에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
844,매우 둔감,보통,적다,매우 정확,따르는 편,3,꽤 민감,매우 여유있게,국내,바다,즉흥 여행,적당히 봄,코골이 함,기다림,"국내,그 외,일본","상관없음,습함,건조함","사람&관계,문화&역사체험,도전과성장","게스트하우스,민박,상관없음",오전 9-10시,100만원 이하,"저는 여행 중 최악의 경험으로 일정이 빡빡한 여행을 꼽고 싶어요. 이번 여행에서는 시간을 자유롭게 사용할 수 있는 여유 있는 일정이 꼭 필요합니다. 여행을 함께하고 싶은 사람은 침착하고 조용하면서도 약속을 잘 지키는 사람이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 새로운 문화를 배우고 경험하면서 저에게 도전과 성장을 가져다 주는 것입니다. 그로 인해 제 삶에 다양한 사람들과의 관계를 풍부하게 하고, 새로운 시각을 열어주는 의미 있는 여행이 되길 바랍니다.","이 사용자는 그 외 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 상관없음에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
845,매우 민감,다소 완고,매우 적다,매우 정확,보통,2,매우 민감,매우 여유있게,해외,바다,즉흥 여행,적당히 봄,코골이 함,기다림,"일본,동남아,그 외","쌀쌀함,더움,추움","미식,쇼핑,문화&역사체험","민박,3성이하 호텔,상관없음",오전 10시 이후,200-300만원,"저는 여행 중 더운 기후나 추운 기후 때문에 불편해지는 것이 가장 싫어 이러한 기후를 피하는 것이 중요합니다. 여행에서는 계획이 아닌 즉흥적인 순간을 즐기고 싶지만, 여유로운 일정을 유지하며 새로운 문화와 역사를 체험하는 것을 기대합니다. 특히 동남아의 미식을 즐기고 싶고, 쇼핑을 통해 이국적인 물건을 발견하는 것이 큰 기쁨이 될 것입니다. 함께 여행할 사람 중에서는 청결하고 약속 시간에 정확한 사람을 선호하여 조화로운 여행을 하고 싶습니다. 이번 여행은 새로운 경험과 기억을 쌓아 제 삶에 작은 활력과 변화를 주기를 바랍니다.","이 사용자는 그 외 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
846,매우 둔감,다소 완고,매우 많다,꽤 정확,리드하는편,4,둔감,보통,해외,산,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"유럽,세계일주,중국&몽골","쌀쌀함,건조함,습함","미식,액티비티,쇼핑","에어비엔비,상관없음,펜션",오전 10시 이후,100만원 이하,"저는 예전에 쌀쌀하고 습한 기후 때문에 힘든 여행을 한 적이 있어요. 그래서 이번 여행에서는 그런 기후를 피하고 싶고, 편안한 여행을 위해 에어비엔비에서 머물고 싶어요. 함께 여행할 사람으로는 저와 함께 즉흥적인 계획에도 즐겁게 참여할 수 있는 사람을 선호하며, 대화가 잘 통하는 친구가 함께라면 더욱 좋겠어요. 여행 중에는 유럽의 다양한 미식 체험과 현지 쇼핑을 가장 기대하고 있어요. 이번 여행이 제 삶에 있어서 새로운 에너지를 주고 여러 방면에서 영감을 주는 시간이 되었으면 합니다.","이 사용자는 유럽 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
847,매우 민감,보통,많다,종종 늦음,무조건 따름,3,매우 민감,매우 여유있게,해외,산,계획 여행,적당히 봄,코골이 안함,다른 곳 간다,"세계일주,국내,중국&몽골","더움,건조함,상관없음","쇼핑,자연감상,문화&역사체험","콘도,펜션,3성이하 호텔",오전 9-10시,400만원 이상,"여행 중 최악의 경험은 시간에 맞추지 못해 계획이 틀어진 경우였어요. 그래서 이번 여행에서는 반드시 있기를 바라는 것은 철저한 일정 관리입니다. 함께 여행하고 싶은 사람은 제 의견을 잘 수용하고 청결함에 신경을 쓰는 사람입니다. 이번 여행에서 가장 기대하는 것은 다양한 자연과 문화를 경험하며 세계 곳곳을 둘러보는 것이에요. 이번 여행을 통해 새로운 영감을 얻고, 제 삶에 긍정적인 변화를 가져오길 바라고 있습니다.","이 사용자는 세계일주 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
848,보통,보통,적다,보통,보통,4,꽤 민감,매우 빡빡하게,해외,산,즉흥 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,동남아,일본","습함,더움,추움","문화&역사체험,미식,사람&관계","3성이하 호텔,에어비엔비,펜션",오전 10시 이후,300-400만원,"이번 여행에서 가장 기대하는 것은 문화와 역사 체험, 그리고 다양한 사람들과의 새로운 관계를 맺는 것입니다. 따라서 이번 여행에서는 로컬 음식과 역사적인 랜드마크를 놓치고 싶지 않아요. 하지만 습함, 더움, 추운 기후는 피하고 싶기 때문에 기온이 적당한 날씨가 중요합니다. 예전 여행에서 기상 시간이 늦어 계획된 일정에 차질이 생겼던 적이 있어, 이번에는 유연하게 즉흥적으로 일정을 조정하며 보다 즐겁게 여행을 하고 싶습니다. 함께 여행하고 싶은 사람은 서로의 의견을 존중할 수 있는 사람이면 좋겠고, 이번 여행이 새로운 경험을 통해 제 삶에 더욱 풍요로운 의미를 더해주기를 바랍니다.","이 사용자는 중국&몽골 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
